GeneSymbol,PhenotypeList,MIM_Number
TSC2,Tuberous sclerosis syndrome|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|not provided|not specified|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|not specified|Seizure|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|not specified|not provided|Tuberous sclerosis 2|Uterine corpus endometrial carcinoma|Cervical cancer|Sarcoma|Lung cancer|Uterine carcinosarcoma|Thymoma|Acute myeloid leukemia|Malignant tumor of esophagus,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Abnormal cerebral morphology,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided|TSC2-related disorder|not specified,191092
TSC2,Tuberous sclerosis syndrome|not specified|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|not specified|not provided|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified|Hereditary cancer-predisposing syndrome|See cases,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|not specified|not provided|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|See cases,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis;Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis 2|not provided|Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Lymphangiomyomatosis|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Neoplasm,191092
TSC2,Hereditary cancer-predisposing syndrome|Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 2|Lymphangiomyomatosis;Isolated focal cortical dysplasia type II;Tuberous sclerosis 2,191092
TSC2,Lymphangiomyomatosis;Tuberous sclerosis syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Lymphangiomyomatosis;Tuberous sclerosis 2;Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis syndrome|Ovarian cancer|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,"Tuberous sclerosis syndrome|Lymphangiomyomatosis;Tuberous sclerosis syndrome|Neoplasm of brain|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|not specified|Colorectal cancer|Lymphoma|Cholangiocarcinoma|Nonpapillary renal cell carcinoma|Malignant lymphoma, large B-cell, diffuse|Adrenocortical carcinoma, hereditary|not provided|Uveal melanoma",191092
TSC2,Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|TSC2-related disorder|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis,191092
TSC2,Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 2|Lung lymphangioleiomyomatosis;Tuberous sclerosis syndrome|not specified|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|not specified|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 2|Lymphangiomyomatosis;Tuberous sclerosis 2;Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 2|not provided|Tuberous sclerosis syndrome;Lung lymphangioleiomyomatosis,191092
TSC2,Tuberous sclerosis syndrome|not specified|not provided|Tuberous sclerosis 2|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 2,191092
TSC2,"Tuberous sclerosis syndrome|Infantile spasms;Intellectual disability, severe|Tuberous sclerosis 2|Lymphangiomyomatosis",191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Lymphangiomyomatosis,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided|not specified|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome,191092
TSC2,not specified|Hereditary cancer-predisposing syndrome|Tuberous sclerosis syndrome|Tuberous sclerosis 2|not provided|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis;Tuberous sclerosis syndrome|not provided|Lymphangiomyomatosis;Tuberous sclerosis 2;Isolated focal cortical dysplasia type II|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not specified|not provided|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis,191092
TSC2,"Tuberous sclerosis syndrome|not specified|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 2|Thyroid cancer, nonmedullary, 1|not provided|Thymoma",191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not specified,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not provided|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis;Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 2|not provided,191092
TSC2,Lymphangiomyomatosis;Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified,191092
TSC2,not provided|Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not provided|Tuberous sclerosis 2|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis;Tuberous sclerosis syndrome|not provided|not specified,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not provided|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not specified|not provided|Tuberous sclerosis 2|Sarcoma,191092
TSC2,Tuberous sclerosis syndrome|Neoplasm|Tuberous sclerosis 2|not provided|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not provided|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II,191092
DEPDC5,"Epilepsy, familial focal, with variable foci 1|Familial focal epilepsy with variable foci|not provided|Inborn genetic diseases",614191
DEPDC5,"Epilepsy, familial focal, with variable foci 1|not provided",614191
DEPDC5,"Epilepsy, familial focal, with variable foci 1|Autosomal dominant epilepsy",614191
DEPDC5,"Epilepsy, familial focal, with variable foci 1",614191
DEPDC5,"Epilepsy, familial focal, with variable foci 1|not provided|Familial focal epilepsy with variable foci|Seizure",614191
DEPDC5,"Epilepsy, familial focal, with variable foci 1|Familial focal epilepsy with variable foci|not provided|DEPDC5-related disorder|Inborn genetic diseases",614191
TBC1D24,"Developmental and epileptic encephalopathy, 16",613577
TBC1D24,"Developmental and epileptic encephalopathy, 16|not provided|Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24;Developmental and epileptic encephalopathy, 1",613577
TBC1D24,"Developmental and epileptic encephalopathy, 16|Developmental and epileptic encephalopathy, 1;Caused by mutation in the TBC1 domain family, member 24;Autosomal dominant nonsyndromic hearing loss 65",613577
GABRG2,"Generalized epilepsy with febrile seizures plus 3|not provided|Self-limited epilepsy with centrotemporal spikes|EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 2;Febrile seizures, familial, 8|Developmental and epileptic encephalopathy, 74|Inborn genetic diseases",137164
SCN8A,"Developmental and epileptic encephalopathy, 13|Complex neurodevelopmental disorder",600702
CHD2,Developmental and epileptic encephalopathy 94,602119
CHD2,Developmental and epileptic encephalopathy 94|not provided,602119
TSC1,Malignant tumor of urinary bladder|Tuberous sclerosis syndrome,605284
TSC1,Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 1|Hereditary cancer-predisposing syndrome|not provided|Kidney failure,605284
TSC1,Tuberous sclerosis syndrome|not provided|not specified|Tuberous sclerosis 1|Hereditary cancer-predisposing syndrome,605284
TSC1,Tuberous sclerosis syndrome|not provided|Hereditary cancer-predisposing syndrome|Lymphangiomyomatosis;Tuberous sclerosis 1;Isolated focal cortical dysplasia type II|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|Lymphangiomyomatosis,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|not specified|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 1|TSC1-related disorder,605284
TSC1,not provided,605284
TSC1,Malignant tumor of urinary bladder|Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|not provided|Isolated focal cortical dysplasia type II|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Isolated focal cortical dysplasia type II|Hereditary cancer-predisposing syndrome,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not provided|Tuberous sclerosis 1|TSC1-related disorder,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|not provided|Hereditary cancer-predisposing syndrome|TSC1-related disorder,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Isolated focal cortical dysplasia type II,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|Tuberous sclerosis 1|not provided,605284
TSC1,Tuberous sclerosis 1|not provided|Tuberous sclerosis syndrome,605284
TSC1,Tuberous sclerosis syndrome|not provided|Hereditary cancer-predisposing syndrome|Lymphangiomyomatosis;Tuberous sclerosis 1;Isolated focal cortical dysplasia type II|not specified|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Hereditary cancer-predisposing syndrome|not provided|not specified,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|Tuberous sclerosis 1|Hereditary cancer-predisposing syndrome,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|TSC1-related disorder|Hereditary cancer-predisposing syndrome,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Lymphangiomyomatosis;Tuberous sclerosis 1;Isolated focal cortical dysplasia type II,605284
TSC1,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 1|not specified|TSC1-related disorder,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 1|TSC1-related disorder,605284
TSC1,"Hereditary cancer-predisposing syndrome|Tuberous sclerosis syndrome|not specified|Isolated focal cortical dysplasia type II|not provided|Tuberous sclerosis 1|Malignant lymphoma, large B-cell, diffuse",605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Hereditary cancer-predisposing syndrome|Craniopharyngioma,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|not provided|Isolated focal cortical dysplasia type II;Tuberous sclerosis 1;Lymphangiomyomatosis,605284
TSC1,Autism spectrum disorder|Tuberous sclerosis syndrome|not specified|Isolated focal cortical dysplasia type II|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 1|not provided|TSC1-related disorder|Isolated focal cortical dysplasia type II;Tuberous sclerosis 1;Lymphangiomyomatosis,605284
TSC1,Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 1|Isolated focal cortical dysplasia type II|Hereditary cancer-predisposing syndrome|not provided|Isolated focal cortical dysplasia type II;Tuberous sclerosis 1;Lymphangiomyomatosis,605284
TSC1,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|not provided|Tuberous sclerosis 1,605284
TSC1,Tuberous sclerosis syndrome|Tuberous sclerosis 1|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 1|not provided,605284
TSC1,not specified|Tuberous sclerosis 1|Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II|not provided|Hereditary cancer-predisposing syndrome,605284
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|not specified,191092
TSC2,Tuberous sclerosis syndrome|not specified|Hereditary cancer-predisposing syndrome|not provided|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Isolated focal cortical dysplasia type II,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis 2,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis 2|Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|TSC2-related disorder|not provided,191092
TSC2,not specified|Tuberous sclerosis syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not specified|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 2|Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 2|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|not provided,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|not provided|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II,191092
TSC2,not specified|Tuberous sclerosis syndrome|not provided|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|not provided|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified|Hereditary cancer-predisposing syndrome|not provided|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Lymphangiomyomatosis;Tuberous sclerosis 2;Isolated focal cortical dysplasia type II|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|not specified|not provided|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|not specified|not provided|Isolated focal cortical dysplasia type II;Lymphangiomyomatosis;Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|not provided|Cervical cancer,191092
TSC2,Autism spectrum disorder,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified|not provided|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|not provided|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not specified|Tuberous sclerosis 2|not provided|Ovarian cancer,191092
TSC2,Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 2|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II,191092
TSC2,not provided|Tuberous sclerosis syndrome|Autism spectrum disorder|not specified|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis 2|Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II,191092
TSC2,Lymphangiomyomatosis|Tuberous sclerosis 2|not provided|Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|not provided|not specified|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|not provided|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided|TSC2-related disorder|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis|not specified,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not provided|Lymphangiomyomatosis;Isolated focal cortical dysplasia type II;Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|TSC2-related disorder,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|Tuberous sclerosis syndrome|TSC2-related disorder|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|not provided,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|not provided|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Lymphangiomyomatosis;Isolated focal cortical dysplasia type II;Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not specified|not provided,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|TSC2-related disorder|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis syndrome|TSC2-related disorder|not provided,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis;Isolated focal cortical dysplasia type II;Tuberous sclerosis 2|Tuberous sclerosis 2|not provided,191092
TSC2,Autism spectrum disorder|not provided|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|Tuberous sclerosis syndrome,191092
TSC2,Hereditary cancer-predisposing syndrome|Lymphangiomyomatosis;Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified|Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis syndrome|Lymphangiomyomatosis;Isolated focal cortical dysplasia type II;Tuberous sclerosis 2|not specified|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Everolimus response|Tuberous sclerosis 2,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II|Tuberous sclerosis 2,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis syndrome|not specified|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Hereditary cancer-predisposing syndrome|not specified|Tuberous sclerosis 2|not provided|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|See cases|TSC2-related disorder,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|Tuberous sclerosis 2;Lymphangiomyomatosis;Isolated focal cortical dysplasia type II,191092
TSC2,Tuberous sclerosis syndrome|not provided|Nonpapillary renal cell carcinoma|Uterine corpus endometrial carcinoma,191092
TSC2,Autism spectrum disorder|Tuberous sclerosis 2|Hereditary cancer-predisposing syndrome|not provided|Tuberous sclerosis syndrome,191092
TSC2,Tuberous sclerosis syndrome|not specified|Hereditary cancer-predisposing syndrome|Tuberous sclerosis 2|Isolated focal cortical dysplasia type II;Tuberous sclerosis 2;Lymphangiomyomatosis|not provided,191092
TSC2,Tuberous sclerosis syndrome|Tuberous sclerosis 2|not specified|Hereditary cancer-predisposing syndrome|Epilepsy|TSC2-related disorder,191092
PRRT2,Episodic kinesigenic dyskinesia 1|Infantile convulsions and choreoathetosis|not provided|Episodic kinesigenic dyskinesia|Inborn genetic diseases|not specified,614386
PRRT2,"Episodic kinesigenic dyskinesia 1|Infantile convulsions and choreoathetosis|not provided|Seizure|Seizures, benign familial infantile, 2|Paroxysmal nonkinesigenic dyskinesia 1|Episodic kinesigenic dyskinesia|Episodic kinesigenic dyskinesia 1;Infantile convulsions and choreoathetosis;Seizures, benign familial infantile, 2|PRRT2 insufficiency|PRRT2-Associated Paroxysmal Movement Disorders|Neurodevelopmental delay|PRRT2-related disorder|Inborn genetic diseases|Self-limited familial infantile epilepsy|See cases|Episodic kinesigenic dyskinesia 1;Seizures, benign familial infantile, 2|Convulsions",614386
SCN1A,Severe myoclonic epilepsy in infancy|not provided|6 conditions,182389
SCN1A,Severe myoclonic epilepsy in infancy|not provided,182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 1|Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Seizure;Intellectual disability, mild|Migraine, familial hemiplegic, 3;Severe myoclonic epilepsy in infancy;Generalized epilepsy with febrile seizures plus, type 2;Developmental and epileptic encephalopathy 6B|SCN1A-related disorder",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Seizure|Migraine, familial hemiplegic, 3",182389
SCN1A,Severe myoclonic epilepsy in infancy|Inborn genetic diseases|Developmental and epileptic encephalopathy,182389
SCN1A,Generalized epilepsy|Severe myoclonic epilepsy in infancy,182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Migraine, familial hemiplegic, 3;Severe myoclonic epilepsy in infancy;Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2|Seizure|Inborn genetic diseases|Developmental and epileptic encephalopathy 6B",182389
SCN1A,Generalized epilepsy|Developmental and epileptic encephalopathy,182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Migraine, familial hemiplegic, 3",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Migraine, familial hemiplegic, 3|Developmental and epileptic encephalopathy 6B;Generalized epilepsy with febrile seizures plus, type 2;Severe myoclonic epilepsy in infancy|Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|not provided,182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2;Severe myoclonic epilepsy in infancy|Inborn genetic diseases",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2|Generalized epilepsy with febrile seizures plus, type 2;Migraine, familial hemiplegic, 3;Severe myoclonic epilepsy in infancy;Developmental and epileptic encephalopathy 6B",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|not specified|Generalized epilepsy with febrile seizures plus, type 2|Developmental and epileptic encephalopathy|Migraine, familial hemiplegic, 3|Inborn genetic diseases|SCN1A-related disorder",182389
SCN1A,Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|Inborn genetic diseases,182389
SCN1A,Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Inborn genetic diseases,182389
SCN1A,Severe myoclonic epilepsy in infancy|Inborn genetic diseases,182389
SCN1A,Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|See cases,182389
SCN1A,Myoclonic encephalopathy|Developmental and epileptic encephalopathy,182389
SCN1A,Focal epilepsy|not provided|Developmental and epileptic encephalopathy|Severe myoclonic epilepsy in infancy,182389
SCN1A,"Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|Severe myoclonic epilepsy in infancy;Migraine, familial hemiplegic, 3;Generalized epilepsy with febrile seizures plus, type 2|not provided",182389
SCN1A,not provided|Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy,182389
SCN1A,"Focal epilepsy|not provided|Developmental and epileptic encephalopathy|Severe myoclonic epilepsy in infancy|Autosomal dominant epilepsy|Generalized epilepsy with febrile seizures plus, type 2|Seizure",182389
SCN1A,"Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|Severe myoclonic epilepsy in infancy;Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,"Macrocephaly and epileptic encephalopathy|not provided|Developmental and epileptic encephalopathy|Inborn genetic diseases|Migraine, familial hemiplegic, 3|Severe myoclonic epilepsy in infancy",182389
SCN1A,"Severe myoclonic epilepsy in infancy|Severe myoclonic epilepsy in infancy;Migraine, familial hemiplegic, 3;Generalized epilepsy with febrile seizures plus, type 2|not provided|Migraine, familial hemiplegic, 3|Developmental and epileptic encephalopathy|Inborn genetic diseases",182389
SCN1A,"Focal epilepsy|Autism;Focal-onset seizure;Microcephaly|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2|not provided|Developmental and epileptic encephalopathy 6B",182389
SCN1A,not provided|Severe myoclonic epilepsy in infancy,182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy|Developmental and epileptic encephalopathy 6B;Generalized epilepsy with febrile seizures plus, type 2;Migraine, familial hemiplegic, 3;Severe myoclonic epilepsy in infancy|Generalized epilepsy with febrile seizures plus, type 2|Developmental and epileptic encephalopathy 6B",182389
SCN1A,Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy,182389
SCN1A,"not provided|Severe myoclonic epilepsy in infancy|Generalized epilepsy with febrile seizures plus, type 2",182389
SCN1A,"not provided|not specified|Migraine, familial hemiplegic, 3|Epilepsy|Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2|Inborn genetic diseases",182389
SCN1A,"Inborn genetic diseases|Seizure|Febrile seizures, familial, 3a;Developmental and epileptic encephalopathy 6B;Severe myoclonic epilepsy in infancy;Generalized epilepsy with febrile seizures plus, type 2|Autosomal dominant epilepsy|Severe myoclonic epilepsy in infancy|not provided|Developmental and epileptic encephalopathy",182389
SCN1A,"Severe myoclonic epilepsy in infancy|not provided|Global developmental delay;Seizure|Developmental and epileptic encephalopathy|Generalized epilepsy with febrile seizures plus, type 2;Migraine, familial hemiplegic, 3;Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy 6B|Generalized epilepsy with febrile seizures plus, type 2;Severe myoclonic epilepsy in infancy|Developmental and epileptic encephalopathy, 6A",182389
SCN1A,"Generalized epilepsy with febrile seizures plus, type 1|Inborn genetic diseases|not provided|Developmental and epileptic encephalopathy",182389
